Feature,Importance
URLSimilarityIndex,0.1787017414662617
NoOfExternalRef,0.16727823446112938
LineOfCode,0.15116228292426828
NoOfSelfRef,0.12113992963962918
NoOfImage,0.08281519870300622
NoOfJS,0.06643307952450808
HasSocialNet,0.050492486069015935
HasCopyrightInfo,0.025811034216565658
HasDescription,0.019090317319046368
LargestLineLength,0.018091355216440674
NoOfCSS,0.016936108130066786
IsHTTPS,0.016079134012925315
NoOfOtherSpecialCharsInURL,0.012264308045847811
DegitRatioInURL,0.011587378510677782
NoOfLettersInURL,0.008466003920084278
NoOfDegitsInURL,0.006992342422215003
HasSubmitButton,0.006293627136850465
IsResponsive,0.0061379821292098565
URLLength,0.0054734155578204675
DomainTitleMatchScore,0.005232337712332785
URLTitleMatchScore,0.0044126055456361795
LetterRatioInURL,0.004272023649110249
NoOfiFrame,0.0031272757445978848
NoOfSubDomain,0.0030293203693735962
SpacialCharRatioInURL,0.0024817202450793576
NoOfEmptyRef,0.0021408107728989735
URLCharProb,0.0010487419609688917
DomainLength,0.0006355034792632432
CharContinuationRate,0.00053838151557606
HasFavicon,0.0004550227423788022
NoOfEqualsInURL,0.0002912881131996005
HasTitle,0.0002559730972015963
NoOfQMarkInURL,0.00024925164387452317
TLDLegitimateProb,0.00017678183041536808
TLDLength,8.318381737987102e-05
HasPasswordField,6.424634341313936e-05
Bank,5.2896030675791195e-05
HasHiddenFields,4.732633003526054e-05
Robots,4.3129433561290365e-05
Pay,3.9014460872036406e-05
NoOfPopup,2.2767241144965776e-05
NoOfURLRedirect,2.186980901665454e-05
Crypto,1.2932542478383465e-05
HasObfuscation,1.1131146628478396e-05
HasExternalFormSubmit,4.036385873882208e-06
NoOfAmpersandInURL,1.3435857664328387e-06
IsDomainIP,1.3177546699950686e-06
NoOfSelfRedirect,1.2248468979011133e-06
ObfuscationRatio,2.997297249982241e-07
NoOfObfuscatedChar,2.827143847295451e-07
