Feature,Importance
LineOfCode,0.21152262847616357
NoOfExternalRef,0.1856578032480264
NoOfSelfRef,0.10860397741701108
NoOfImage,0.09650756635554077
NoOfJS,0.07232792060007578
NoOfCSS,0.06868752769254105
HasDescription,0.03942917380735064
HasSocialNet,0.030054221320530403
NoOfOtherSpecialCharsInURL,0.025315834837003424
HasCopyrightInfo,0.021463077047374622
NoOfDegitsInURL,0.017183440509663552
IsHTTPS,0.014350955154977757
LargestLineLength,0.014293705117366133
URLLength,0.013192516564743234
DegitRatioInURL,0.01239107290102777
IsResponsive,0.011494751044303295
NoOfEmptyRef,0.009694053731360818
NoOfLettersInURL,0.009640096968279173
LetterRatioInURL,0.008093688840487397
SpacialCharRatioInURL,0.007015212704153391
HasSubmitButton,0.005940029733618422
NoOfSubDomain,0.0058701057859876105
HasHiddenFields,0.00413825243482406
DomainLength,0.00209001635018778
NoOfQMarkInURL,0.0010573639488882065
Robots,0.0008497751486682165
NoOfiFrame,0.0005745231102470765
HasFavicon,0.0005606395149828122
TLDLength,0.00037389811217927927
NoOfEqualsInURL,0.00034614702783631235
Pay,0.0003458467244904239
HasTitle,0.0002123976834479598
HasPasswordField,0.00020557572838570952
Bank,0.00013445021706641182
NoOfPopup,0.00010497577588746257
NoOfURLRedirect,9.290467984339915e-05
NoOfAmpersandInURL,5.9218148809031796e-05
Crypto,4.9329685538569035e-05
IsDomainIP,3.913844490745702e-05
HasExternalFormSubmit,1.3190639059010548e-05
NoOfObfuscatedChar,1.078358469357378e-05
NoOfSelfRedirect,7.637244258347596e-06
ObfuscationRatio,3.627080475948842e-06
HasObfuscation,9.488577367465257e-07
